Saison;Jour;Heure;Puissance.MW.par.million
Ete;2;8;90
Ete;2;9;191
Ete;2;10;216
Ete;2;11;194
Ete;2;12;268
Ete;2;13;412
Ete;2;14;374
Ete;2;15;240
Ete;2;16;210
Ete;2;17;281
Ete;2;18;519
Ete;2;19;691
Ete;2;20;669
Ete;2;21;568
Ete;2;22;407
Ete;2;23;284
Ete;3;0;227
Ete;3;1;161
Ete;3;2;109
Ete;3;3;74
Ete;3;4;55
Ete;3;5;46
Ete;3;6;38
Ete;3;7;46
Ete;3;8;90
Ete;3;9;191
Ete;3;10;216
Ete;3;11;194
Ete;3;12;268
Ete;3;13;412
Ete;3;14;374
Ete;3;15;240
Ete;3;16;210
Ete;3;17;281
Ete;3;18;519
Ete;3;19;691
Ete;3;20;669
Ete;3;21;568
Ete;3;22;407
Ete;3;23;284
Ete;4;0;227
Ete;4;1;161
Ete;4;2;109
Ete;4;3;74
Ete;4;4;55
Ete;4;5;46
Ete;4;6;38
Ete;4;7;46
Ete;4;8;90
Ete;4;9;191
Ete;4;10;216
Ete;4;11;194
Ete;4;12;268
Ete;4;13;412
Ete;4;14;374
Ete;4;15;240
Ete;4;16;210
Ete;4;17;281
Ete;4;18;519
Ete;4;19;691
Ete;4;20;669
Ete;4;21;568
Ete;4;22;407
Ete;4;23;284
Ete;5;0;227
Ete;5;1;161
Ete;5;2;109
Ete;5;3;74
Ete;5;4;55
Ete;5;5;46
Ete;5;6;38
Ete;5;7;46
Ete;5;8;90
Ete;5;9;191
Ete;5;10;216
Ete;5;11;194
Ete;5;12;268
Ete;5;13;412
Ete;5;14;374
Ete;5;15;240
Ete;5;16;210
Ete;5;17;281
Ete;5;18;519
Ete;5;19;691
Ete;5;20;669
Ete;5;21;568
Ete;5;22;407
Ete;5;23;284
Ete;6;0;251
Ete;6;1;233
Ete;6;2;151
Ete;6;3;110
Ete;6;4;86
Ete;6;5;63
Ete;6;6;51
Ete;6;7;45
Ete;6;8;50
Ete;6;9;62
Ete;6;10;79
Ete;6;11;131
Ete;6;12;183
Ete;6;13;323
Ete;6;14;282
Ete;6;15;194
Ete;6;16;241
Ete;6;17;182
Ete;6;18;228
Ete;6;19;310
Ete;6;20;461
Ete;6;21;514
Ete;6;22;455
Ete;6;23;361
Ete;7;0;251
Ete;7;1;233
Ete;7;2;151
Ete;7;3;110
Ete;7;4;86
Ete;7;5;63
Ete;7;6;51
Ete;7;7;45
Ete;7;8;50
Ete;7;9;62
Ete;7;10;79
Ete;7;11;131
Ete;7;12;183
Ete;7;13;323
Ete;7;14;282
Ete;7;15;194
Ete;7;16;241
Ete;7;17;182
Ete;7;18;228
Ete;7;19;310
Ete;7;20;461
Ete;7;21;514
Ete;7;22;455
Ete;7;23;361
Ete;1;0;227
Ete;1;1;161
Ete;1;2;109
Ete;1;3;74
Ete;1;4;55
Ete;1;5;46
Ete;1;6;38
Ete;1;7;46
Ete;1;8;90
Ete;1;9;191
Ete;1;10;216
Ete;1;11;194
Ete;1;12;268
Ete;1;13;412
Ete;1;14;374
Ete;1;15;240
Ete;1;16;210
Ete;1;17;281
Ete;1;18;519
Ete;1;19;691
Ete;1;20;669
Ete;1;21;568
Ete;1;22;407
Ete;1;23;284
