"Dates","Prices"
"2006-12-04 18:00:00",65.01
"2006-12-04 19:00:00",59.006
"2006-12-04 20:00:00",48.252
"2006-12-04 21:00:00",32.288
"2006-12-04 22:00:00",33.555
"2006-12-04 23:00:00",28.92
"2006-12-05 00:00:00",27.55
"2006-12-05 01:00:00",25.504
"2006-12-05 02:00:00",16.005
"2006-12-05 03:00:00",13.996
"2006-12-05 04:00:00",11
"2006-12-05 05:00:00",14.658
"2006-12-05 06:00:00",30.009
"2006-12-05 07:00:00",49.844
"2006-12-05 08:00:00",49.998
"2006-12-05 09:00:00",50.007
"2006-12-05 10:00:00",50.008
"2006-12-05 11:00:00",50.005
"2006-12-05 12:00:00",48.384
"2006-12-05 13:00:00",48.748
"2006-12-05 14:00:00",47.036
"2006-12-05 15:00:00",46.008
"2006-12-05 16:00:00",55.035
"2006-12-05 17:00:00",66.001
"2006-12-05 18:00:00",64.141
"2006-12-05 19:00:00",57.65
"2006-12-05 20:00:00",49.844
"2006-12-05 21:00:00",33.646
"2006-12-05 22:00:00",38.001
"2006-12-05 23:00:00",34.152
"2006-12-06 00:00:00",26.806
"2006-12-06 01:00:00",17.8
"2006-12-06 02:00:00",13.99
"2006-12-06 03:00:00",11.999
"2006-12-06 04:00:00",9.175
"2006-12-06 05:00:00",15.996
"2006-12-06 06:00:00",23.909
"2006-12-06 07:00:00",50.002
"2006-12-06 08:00:00",34.009
"2006-12-06 09:00:00",39.166
"2006-12-06 10:00:00",39.08
"2006-12-06 11:00:00",40.005
"2006-12-06 12:00:00",39.995
"2006-12-06 13:00:00",35.997
"2006-12-06 14:00:00",34.008
"2006-12-06 15:00:00",44.003
"2006-12-06 16:00:00",54.761
"2006-12-06 17:00:00",62.775
"2006-12-06 18:00:00",64.008
"2006-12-06 19:00:00",55.965
"2006-12-06 20:00:00",52.01
"2006-12-06 21:00:00",36.608
"2006-12-06 22:00:00",33.5
"2006-12-06 23:00:00",29.544
"2006-12-07 00:00:00",26.4
"2006-12-07 01:00:00",19.007
"2006-12-07 02:00:00",16.003
"2006-12-07 03:00:00",12.7
"2006-12-07 04:00:00",12.994
"2006-12-07 05:00:00",19.992
"2006-12-07 06:00:00",29.007
"2006-12-07 07:00:00",53.1
"2006-12-07 08:00:00",52.62
"2006-12-07 09:00:00",52.993
"2006-12-07 10:00:00",52.992
"2006-12-07 11:00:00",50.996
"2006-12-07 12:00:00",50.202
"2006-12-07 13:00:00",50.187
"2006-12-07 14:00:00",48.187
"2006-12-07 15:00:00",46.997
"2006-12-07 16:00:00",59.482
"2006-12-07 17:00:00",67.477
"2006-12-07 18:00:00",67.509
"2006-12-07 19:00:00",60.161
"2006-12-07 20:00:00",48.105
"2006-12-07 21:00:00",37.998
"2006-12-07 22:00:00",36.994
"2006-12-07 23:00:00",29.001
"2006-12-08 00:00:00",25.995
"2006-12-08 01:00:00",22.066
"2006-12-08 02:00:00",17.062
"2006-12-08 03:00:00",11.777
"2006-12-08 04:00:00",14.2
"2006-12-08 05:00:00",19.995
"2006-12-08 06:00:00",25.998
"2006-12-08 07:00:00",49.007
"2006-12-08 08:00:00",50.185
"2006-12-08 09:00:00",48.991
"2006-12-08 10:00:00",49.855
"2006-12-08 11:00:00",49.995
"2006-12-08 12:00:00",49.942
"2006-12-08 13:00:00",48.81
"2006-12-08 14:00:00",47.5
"2006-12-08 15:00:00",46.003
"2006-12-08 16:00:00",49.855
"2006-12-08 17:00:00",67.159
"2006-12-08 18:00:00",64.59
"2006-12-08 19:00:00",55.604
"2006-12-08 20:00:00",48.31
"2006-12-08 21:00:00",35.991
"2006-12-08 22:00:00",35.696
"2006-12-08 23:00:00",31.991
"2006-12-09 00:00:00",28.003
"2006-12-09 01:00:00",25.04
"2006-12-09 02:00:00",19.991
"2006-12-09 03:00:00",15.958
"2006-12-09 04:00:00",9.173
"2006-12-09 05:00:00",15.991
"2006-12-09 06:00:00",15.999
"2006-12-09 07:00:00",29.991
"2006-12-09 08:00:00",33.991
"2006-12-09 09:00:00",41.502
"2006-12-09 10:00:00",44.119
"2006-12-09 11:00:00",45.119
"2006-12-09 12:00:00",43.992
"2006-12-09 13:00:00",35.999
"2006-12-09 14:00:00",34.57
"2006-12-09 15:00:00",33.99
"2006-12-09 16:00:00",38.759
"2006-12-09 17:00:00",46.995
"2006-12-09 18:00:00",50.042
"2006-12-09 19:00:00",47.934
"2006-12-09 20:00:00",38.757
"2006-12-09 21:00:00",35.121
"2006-12-09 22:00:00",37.214
"2006-12-09 23:00:00",34.006
"2006-12-10 00:00:00",31.93
"2006-12-10 01:00:00",29.74
"2006-12-10 02:00:00",23.178
"2006-12-10 03:00:00",16.45
"2006-12-10 04:00:00",8.175
"2006-12-10 05:00:00",16.012
"2006-12-10 06:00:00",14.048
"2006-12-10 07:00:00",18.068
"2006-12-10 08:00:00",23.564
"2006-12-10 09:00:00",26.011
"2006-12-10 10:00:00",34.88
"2006-12-10 11:00:00",36.699
"2006-12-10 12:00:00",36.803
"2006-12-10 13:00:00",32.942
"2006-12-10 14:00:00",29.941
"2006-12-10 15:00:00",26.086
"2006-12-10 16:00:00",26.094
"2006-12-10 17:00:00",40.91
"2006-12-10 18:00:00",43.97
"2006-12-10 19:00:00",46.978
"2006-12-10 20:00:00",41.918
"2006-12-10 21:00:00",35.69
"2006-12-10 22:00:00",36.049
"2006-12-10 23:00:00",32.028
"2006-12-11 00:00:00",15.99
"2006-12-11 01:00:00",19.593
"2006-12-11 02:00:00",17.89
"2006-12-11 03:00:00",8.173
"2006-12-11 04:00:00",8.167
"2006-12-11 05:00:00",19.991
"2006-12-11 06:00:00",25.802
"2006-12-11 07:00:00",56.236
"2006-12-11 08:00:00",50.173
"2006-12-11 09:00:00",49.692
"2006-12-11 10:00:00",52.791
"2006-12-11 11:00:00",53.992
"2006-12-11 12:00:00",49.878
"2006-12-11 13:00:00",53.2
"2006-12-11 14:00:00",52
"2006-12-11 15:00:00",50.577
"2006-12-11 16:00:00",58.999
"2006-12-11 17:00:00",79.004
"2006-12-11 18:00:00",96.005
"2006-12-11 19:00:00",69.398
"2006-12-11 20:00:00",60
"2006-12-11 21:00:00",46.456
"2006-12-11 22:00:00",40.5
"2006-12-11 23:00:00",33.65
"2006-12-12 00:00:00",32.309
"2006-12-12 01:00:00",29.5
"2006-12-12 02:00:00",27.993
"2006-12-12 03:00:00",15.993
"2006-12-12 04:00:00",15.993
"2006-12-12 05:00:00",30
"2006-12-12 06:00:00",34.655
"2006-12-12 07:00:00",65.991
"2006-12-12 08:00:00",60.994
"2006-12-12 09:00:00",62.737
"2006-12-12 10:00:00",60.991
"2006-12-12 11:00:00",56.009
"2006-12-12 12:00:00",56.008
"2006-12-12 13:00:00",54.006
"2006-12-12 14:00:00",58.001
"2006-12-12 15:00:00",50.102
"2006-12-12 16:00:00",63.178
"2006-12-12 17:00:00",85.994
"2006-12-12 18:00:00",90.108
"2006-12-12 19:00:00",77.01
"2006-12-12 20:00:00",56.99
"2006-12-12 21:00:00",43.959
"2006-12-12 22:00:00",39
"2006-12-12 23:00:00",33.294
"2006-12-13 00:00:00",33.655
"2006-12-13 01:00:00",27.454
"2006-12-13 02:00:00",21.01
"2006-12-13 03:00:00",21.991
"2006-12-13 04:00:00",21.142
"2006-12-13 05:00:00",26
"2006-12-13 06:00:00",31.001
"2006-12-13 07:00:00",56.48
"2006-12-13 08:00:00",58.99
"2006-12-13 09:00:00",57.725
"2006-12-13 10:00:00",58.992
"2006-12-13 11:00:00",57.991
"2006-12-13 12:00:00",54.671
"2006-12-13 13:00:00",53.007
"2006-12-13 14:00:00",53.053
"2006-12-13 15:00:00",52.006
"2006-12-13 16:00:00",65.286
"2006-12-13 17:00:00",76.72
"2006-12-13 18:00:00",76.999
"2006-12-13 19:00:00",63.715
"2006-12-13 20:00:00",52.005
"2006-12-13 21:00:00",42.007
"2006-12-13 22:00:00",32.95
"2006-12-13 23:00:00",33.11
"2006-12-14 00:00:00",27.751
"2006-12-14 01:00:00",24.02
"2006-12-14 02:00:00",21.522
"2006-12-14 03:00:00",20.058
"2006-12-14 04:00:00",17.052
"2006-12-14 05:00:00",24
"2006-12-14 06:00:00",29.922
"2006-12-14 07:00:00",52.002
"2006-12-14 08:00:00",51.003
"2006-12-14 09:00:00",52.19
"2006-12-14 10:00:00",51.109
"2006-12-14 11:00:00",50.171
"2006-12-14 12:00:00",49.883
"2006-12-14 13:00:00",48.069
"2006-12-14 14:00:00",47.018
"2006-12-14 15:00:00",44.75
"2006-12-14 16:00:00",60
"2006-12-14 17:00:00",74.91
"2006-12-14 18:00:00",78.256
"2006-12-14 19:00:00",62.826
"2006-12-14 20:00:00",48.179
"2006-12-14 21:00:00",36.003
"2006-12-14 22:00:00",35.047
"2006-12-14 23:00:00",29.007
"2006-12-15 00:00:00",28
"2006-12-15 01:00:00",25.991
"2006-12-15 02:00:00",22.494
"2006-12-15 03:00:00",20.276
"2006-12-15 04:00:00",15.196
"2006-12-15 05:00:00",23.491
"2006-12-15 06:00:00",33.915
"2006-12-15 07:00:00",50.999
"2006-12-15 08:00:00",51.996
"2006-12-15 09:00:00",53.002
"2006-12-15 10:00:00",53.001
"2006-12-15 11:00:00",53.007
"2006-12-15 12:00:00",50.198
"2006-12-15 13:00:00",48.393
"2006-12-15 14:00:00",47.493
"2006-12-15 15:00:00",47.491
"2006-12-15 16:00:00",50.353
"2006-12-15 17:00:00",69.59
"2006-12-15 18:00:00",65.97
"2006-12-15 19:00:00",59.397
"2006-12-15 20:00:00",47.991
"2006-12-15 21:00:00",35.97
"2006-12-15 22:00:00",36.007
"2006-12-15 23:00:00",32.071
"2006-12-16 00:00:00",45.003
"2006-12-16 01:00:00",38.75
"2006-12-16 02:00:00",39.004
"2006-12-16 03:00:00",33.007
"2006-12-16 04:00:00",23.49
"2006-12-16 05:00:00",27.005
"2006-12-16 06:00:00",30.008
"2006-12-16 07:00:00",42.002
"2006-12-16 08:00:00",42.006
"2006-12-16 09:00:00",45.009
"2006-12-16 10:00:00",48.109
"2006-12-16 11:00:00",48.256
"2006-12-16 12:00:00",48.006
"2006-12-16 13:00:00",42.009
"2006-12-16 14:00:00",41
"2006-12-16 15:00:00",38
"2006-12-16 16:00:00",41.358
"2006-12-16 17:00:00",51.996
"2006-12-16 18:00:00",59.997
"2006-12-16 19:00:00",56.506
"2006-12-16 20:00:00",48.175
"2006-12-16 21:00:00",41.774
"2006-12-16 22:00:00",46.8
"2006-12-16 23:00:00",45.004
"2006-12-17 00:00:00",36.4
"2006-12-17 01:00:00",33.005
"2006-12-17 02:00:00",28.803
"2006-12-17 03:00:00",23.992
"2006-12-17 04:00:00",11.998
"2006-12-17 05:00:00",20.996
"2006-12-17 06:00:00",14.995
"2006-12-17 07:00:00",26.5
"2006-12-17 08:00:00",31.506
"2006-12-17 09:00:00",36.106
"2006-12-17 10:00:00",42.201
"2006-12-17 11:00:00",44.5
"2006-12-17 12:00:00",43.905
"2006-12-17 13:00:00",41.504
"2006-12-17 14:00:00",37.201
"2006-12-17 15:00:00",34.066
"2006-12-17 16:00:00",34.565
"2006-12-17 17:00:00",49
"2006-12-17 18:00:00",57.994
"2006-12-17 19:00:00",56.997
"2006-12-17 20:00:00",56.992
"2006-12-17 21:00:00",52.49
"2006-12-17 22:00:00",48.2
"2006-12-17 23:00:00",42.505
"2006-12-18 00:00:00",28.89
"2006-12-18 01:00:00",30.2
"2006-12-18 02:00:00",28
"2006-12-18 03:00:00",20.77
"2006-12-18 04:00:00",20.906
"2006-12-18 05:00:00",32.126
"2006-12-18 06:00:00",37.807
"2006-12-18 07:00:00",67.922
"2006-12-18 08:00:00",65.475
"2006-12-18 09:00:00",65.207
"2006-12-18 10:00:00",65.203
"2006-12-18 11:00:00",68.14
"2006-12-18 12:00:00",69.991
"2006-12-18 13:00:00",69.996
"2006-12-18 14:00:00",65.937
"2006-12-18 15:00:00",63.179
"2006-12-18 16:00:00",100.003
"2006-12-18 17:00:00",230.337
"2006-12-18 18:00:00",200
"2006-12-18 19:00:00",100.007
"2006-12-18 20:00:00",65.964
"2006-12-18 21:00:00",55.405
"2006-12-18 22:00:00",49.91
"2006-12-18 23:00:00",42.009
"2006-12-19 00:00:00",34.284
"2006-12-19 01:00:00",42.002
"2006-12-19 02:00:00",36.005
"2006-12-19 03:00:00",27.675
"2006-12-19 04:00:00",23.997
"2006-12-19 05:00:00",38.001
"2006-12-19 06:00:00",48.006
"2006-12-19 07:00:00",79.995
"2006-12-19 08:00:00",76.994
"2006-12-19 09:00:00",73.17
"2006-12-19 10:00:00",73.991
"2006-12-19 11:00:00",71.216
"2006-12-19 12:00:00",70.015
"2006-12-19 13:00:00",68.679
"2006-12-19 14:00:00",67.535
"2006-12-19 15:00:00",65.803
"2006-12-19 16:00:00",77.047
"2006-12-19 17:00:00",152.88
"2006-12-19 18:00:00",169.409
"2006-12-19 19:00:00",93.642
"2006-12-19 20:00:00",73.001
"2006-12-19 21:00:00",53.79
"2006-12-19 22:00:00",54.14
"2006-12-19 23:00:00",48.191
"2006-12-20 00:00:00",33
"2006-12-20 01:00:00",32.007
"2006-12-20 02:00:00",30.008
"2006-12-20 03:00:00",26.865
"2006-12-20 04:00:00",25.852
"2006-12-20 05:00:00",38.003
"2006-12-20 06:00:00",42.402
"2006-12-20 07:00:00",71.302
"2006-12-20 08:00:00",68.993
"2006-12-20 09:00:00",67.991
"2006-12-20 10:00:00",67.991
"2006-12-20 11:00:00",67.995
"2006-12-20 12:00:00",64.89
"2006-12-20 13:00:00",64.583
"2006-12-20 14:00:00",64.001
"2006-12-20 15:00:00",61.941
"2006-12-20 16:00:00",72.711
"2006-12-20 17:00:00",110.412
"2006-12-20 18:00:00",125.86
"2006-12-20 19:00:00",85
"2006-12-20 20:00:00",65
"2006-12-20 21:00:00",55.092
"2006-12-20 22:00:00",48.5
"2006-12-20 23:00:00",40.007
"2006-12-21 00:00:00",38.003
"2006-12-21 01:00:00",43.703
"2006-12-21 02:00:00",40.009
"2006-12-21 03:00:00",38
"2006-12-21 04:00:00",31.904
"2006-12-21 05:00:00",40.01
"2006-12-21 06:00:00",48.191
"2006-12-21 07:00:00",74.23
"2006-12-21 08:00:00",70.5
"2006-12-21 09:00:00",70.34
"2006-12-21 10:00:00",67.779
"2006-12-21 11:00:00",68.603
"2006-12-21 12:00:00",67.375
"2006-12-21 13:00:00",67
"2006-12-21 14:00:00",66.992
"2006-12-21 15:00:00",63.87
"2006-12-21 16:00:00",79.412
"2006-12-21 17:00:00",110.089
"2006-12-21 18:00:00",123.165
"2006-12-21 19:00:00",90.32
"2006-12-21 20:00:00",69
"2006-12-21 21:00:00",59.16
"2006-12-21 22:00:00",56.009
"2006-12-21 23:00:00",48.007
"2006-12-22 00:00:00",35.002
"2006-12-22 01:00:00",42.01
"2006-12-22 02:00:00",40.006
"2006-12-22 03:00:00",30.004
"2006-12-22 04:00:00",24.002
"2006-12-22 05:00:00",38.006
"2006-12-22 06:00:00",42.088
"2006-12-22 07:00:00",62
"2006-12-22 08:00:00",63.18
"2006-12-22 09:00:00",63.053
"2006-12-22 10:00:00",61.995
"2006-12-22 11:00:00",63.008
"2006-12-22 12:00:00",60.008
"2006-12-22 13:00:00",56.787
"2006-12-22 14:00:00",54.007
"2006-12-22 15:00:00",50.291
"2006-12-22 16:00:00",57.007
"2006-12-22 17:00:00",73.449
"2006-12-22 18:00:00",77.1
"2006-12-22 19:00:00",63.126
"2006-12-22 20:00:00",53.707
"2006-12-22 21:00:00",45.579
"2006-12-22 22:00:00",46.5
"2006-12-22 23:00:00",42.006
"2006-12-23 00:00:00",49.925
"2006-12-23 01:00:00",44.005
"2006-12-23 02:00:00",42.008
"2006-12-23 03:00:00",36.009
"2006-12-23 04:00:00",28.5
"2006-12-23 05:00:00",38
"2006-12-23 06:00:00",42.003
"2006-12-23 07:00:00",48.006
"2006-12-23 08:00:00",47.934
"2006-12-23 09:00:00",59.991
"2006-12-23 10:00:00",59.991
"2006-12-23 11:00:00",57.99
"2006-12-23 12:00:00",54
"2006-12-23 13:00:00",50
"2006-12-23 14:00:00",48.102
"2006-12-23 15:00:00",46.193
"2006-12-23 16:00:00",49.923
"2006-12-23 17:00:00",60
"2006-12-23 18:00:00",63.992
"2006-12-23 19:00:00",55.202
"2006-12-23 20:00:00",61.991
"2006-12-23 21:00:00",55.99
"2006-12-23 22:00:00",53.99
"2006-12-23 23:00:00",48.198
"2006-12-24 00:00:00",48.006
"2006-12-24 01:00:00",42.526
"2006-12-24 02:00:00",38.004
"2006-12-24 03:00:00",34.219
"2006-12-24 04:00:00",28.69
"2006-12-24 05:00:00",30
"2006-12-24 06:00:00",26.003
"2006-12-24 07:00:00",28.009
"2006-12-24 08:00:00",32.05
"2006-12-24 09:00:00",33.11
"2006-12-24 10:00:00",37.04
"2006-12-24 11:00:00",38.41
"2006-12-24 12:00:00",39.207
"2006-12-24 13:00:00",36.005
"2006-12-24 14:00:00",33
"2006-12-24 15:00:00",31.998
"2006-12-24 16:00:00",33.696
"2006-12-24 17:00:00",43.571
"2006-12-24 18:00:00",51.991
"2006-12-24 19:00:00",52.198
"2006-12-24 20:00:00",48.099
"2006-12-24 21:00:00",38.49
"2006-12-24 22:00:00",42
"2006-12-24 23:00:00",38.2
"2006-12-25 00:00:00",28.91
"2006-12-25 01:00:00",26.15
"2006-12-25 02:00:00",19.56
"2006-12-25 03:00:00",17.448
"2006-12-25 04:00:00",17.108
"2006-12-25 05:00:00",18.805
"2006-12-25 06:00:00",10
"2006-12-25 07:00:00",9.209
"2006-12-25 08:00:00",20.82
"2006-12-25 09:00:00",25
"2006-12-25 10:00:00",29.95
"2006-12-25 11:00:00",33.898
"2006-12-25 12:00:00",34.543
"2006-12-25 13:00:00",31.397
"2006-12-25 14:00:00",26.239
"2006-12-25 15:00:00",18.812
"2006-12-25 16:00:00",23.178
"2006-12-25 17:00:00",34.88
"2006-12-25 18:00:00",44.901
"2006-12-25 19:00:00",41
"2006-12-25 20:00:00",38.898
"2006-12-25 21:00:00",39.305
"2006-12-25 22:00:00",44.991
"2006-12-25 23:00:00",32.43
"2006-12-26 00:00:00",28.108
"2006-12-26 01:00:00",28.008
"2006-12-26 02:00:00",23.95
"2006-12-26 03:00:00",18.001
"2006-12-26 04:00:00",14
"2006-12-26 05:00:00",21.988
"2006-12-26 06:00:00",23.89
"2006-12-26 07:00:00",35.1
"2006-12-26 08:00:00",42.552
"2006-12-26 09:00:00",46.008
"2006-12-26 10:00:00",48.107
"2006-12-26 11:00:00",50.002
"2006-12-26 12:00:00",50.004
"2006-12-26 13:00:00",48.003
"2006-12-26 14:00:00",44.009
"2006-12-26 15:00:00",42.005
"2006-12-26 16:00:00",42.002
"2006-12-26 17:00:00",48.002
"2006-12-26 18:00:00",56.007
"2006-12-26 19:00:00",53.505
"2006-12-26 20:00:00",44.009
"2006-12-26 21:00:00",40.64
"2006-12-26 22:00:00",40.506
"2006-12-26 23:00:00",36.108
"2006-12-27 00:00:00",39.704
"2006-12-27 01:00:00",38.005
"2006-12-27 02:00:00",38.01
"2006-12-27 03:00:00",32.333
"2006-12-27 04:00:00",24.78
"2006-12-27 05:00:00",30.345
"2006-12-27 06:00:00",37.903
"2006-12-27 07:00:00",50.172
"2006-12-27 08:00:00",53.805
"2006-12-27 09:00:00",56.703
"2006-12-27 10:00:00",57.408
"2006-12-27 11:00:00",56.44
"2006-12-27 12:00:00",61.218
"2006-12-27 13:00:00",60.424
"2006-12-27 14:00:00",53.97
"2006-12-27 15:00:00",50.025
"2006-12-27 16:00:00",56.908
"2006-12-27 17:00:00",66.5
"2006-12-27 18:00:00",69.911
"2006-12-27 19:00:00",63.709
"2006-12-27 20:00:00",68.392
"2006-12-27 21:00:00",62.699
"2006-12-27 22:00:00",54.308
"2006-12-27 23:00:00",50.501
"2006-12-28 00:00:00",35.08
"2006-12-28 01:00:00",33.66
"2006-12-28 02:00:00",33.005
"2006-12-28 03:00:00",26.802
"2006-12-28 04:00:00",20.206
"2006-12-28 05:00:00",30.006
"2006-12-28 06:00:00",33.802
"2006-12-28 07:00:00",49.004
"2006-12-28 08:00:00",38.753
"2006-12-28 09:00:00",46.909
"2006-12-28 10:00:00",48
"2006-12-28 11:00:00",54.002
"2006-12-28 12:00:00",54.003
"2006-12-28 13:00:00",53.001
"2006-12-28 14:00:00",51.001
"2006-12-28 15:00:00",49.001
"2006-12-28 16:00:00",52.004
"2006-12-28 17:00:00",58.993
"2006-12-28 18:00:00",63.179
"2006-12-28 19:00:00",60.002
"2006-12-28 20:00:00",54.004
"2006-12-28 21:00:00",45.11
"2006-12-28 22:00:00",48.252
"2006-12-28 23:00:00",41.803
"2006-12-29 00:00:00",37
"2006-12-29 01:00:00",36
"2006-12-29 02:00:00",36.008
"2006-12-29 03:00:00",34.008
"2006-12-29 04:00:00",25.983
"2006-12-29 05:00:00",33.686
"2006-12-29 06:00:00",34.697
"2006-12-29 07:00:00",48.008
"2006-12-29 08:00:00",47.008
"2006-12-29 09:00:00",48.243
"2006-12-29 10:00:00",50.048
"2006-12-29 11:00:00",50.006
"2006-12-29 12:00:00",48.493
"2006-12-29 13:00:00",47.2
"2006-12-29 14:00:00",44.72
"2006-12-29 15:00:00",39.634
"2006-12-29 16:00:00",46.005
"2006-12-29 17:00:00",53.006
"2006-12-29 18:00:00",56.15
"2006-12-29 19:00:00",54.992
"2006-12-29 20:00:00",50.171
"2006-12-29 21:00:00",46.002
"2006-12-29 22:00:00",48.25
"2006-12-29 23:00:00",39.001
"2006-12-30 00:00:00",36.009
"2006-12-30 01:00:00",34.695
"2006-12-30 02:00:00",32.807
"2006-12-30 03:00:00",27.306
"2006-12-30 04:00:00",24.702
"2006-12-30 05:00:00",25.502
"2006-12-30 06:00:00",26.203
"2006-12-30 07:00:00",26.706
"2006-12-30 08:00:00",28.5
"2006-12-30 09:00:00",33.654
"2006-12-30 10:00:00",35
"2006-12-30 11:00:00",36.1
"2006-12-30 12:00:00",35.607
"2006-12-30 13:00:00",35.903
"2006-12-30 14:00:00",35.104
"2006-12-30 15:00:00",36
"2006-12-30 16:00:00",33.649
"2006-12-30 17:00:00",46.994
"2006-12-30 18:00:00",47
"2006-12-30 19:00:00",50.046
"2006-12-30 20:00:00",48.11
"2006-12-30 21:00:00",38.78
"2006-12-30 22:00:00",48.101
"2006-12-30 23:00:00",42.01
"2006-12-31 00:00:00",26.004
"2006-12-31 01:00:00",26.003
"2006-12-31 02:00:00",26.007
"2006-12-31 03:00:00",23.403
"2006-12-31 04:00:00",8.733
"2006-12-31 05:00:00",23.2
"2006-12-31 06:00:00",15.903
"2006-12-31 07:00:00",16.105
"2006-12-31 08:00:00",21.706
"2006-12-31 09:00:00",29.308
"2006-12-31 10:00:00",30
"2006-12-31 11:00:00",28.35
"2006-12-31 12:00:00",31.1
"2006-12-31 13:00:00",29.92
"2006-12-31 14:00:00",29
"2006-12-31 15:00:00",22.998
"2006-12-31 16:00:00",29
"2006-12-31 17:00:00",34.542
"2006-12-31 18:00:00",38.99
"2006-12-31 19:00:00",38.995
"2006-12-31 20:00:00",34.95
"2006-12-31 21:00:00",26.55
"2006-12-31 22:00:00",27.37
"2006-12-31 23:00:00",26.407
"2007-01-01 00:00:00",24.306
"2007-01-01 01:00:00",24.309
"2007-01-01 02:00:00",21.707
"2007-01-01 03:00:00",9.507
"2007-01-01 04:00:00",8.174
"2007-01-01 05:00:00",9.306
"2007-01-01 06:00:00",8.168
"2007-01-01 07:00:00",5.729
"2007-01-01 08:00:00",6.3
"2007-01-01 09:00:00",6.305
"2007-01-01 10:00:00",7.808
"2007-01-01 11:00:00",9.306
"2007-01-01 12:00:00",21.704
"2007-01-01 13:00:00",14.01
"2007-01-01 14:00:00",15
"2007-01-01 15:00:00",10.002
"2007-01-01 16:00:00",8.17
"2007-01-01 17:00:00",27.77
"2007-01-01 18:00:00",37.991
"2007-01-01 19:00:00",33.108
"2007-01-01 20:00:00",37.99
"2007-01-01 21:00:00",32.996
"2007-01-01 22:00:00",36.481
"2007-01-01 23:00:00",30.65
"2007-01-02 00:00:00",16.005
"2007-01-02 01:00:00",11
"2007-01-02 02:00:00",9.01
"2007-01-02 03:00:00",7.503
"2007-01-02 04:00:00",9
"2007-01-02 05:00:00",7.449
"2007-01-02 06:00:00",16.5
"2007-01-02 07:00:00",28.009
"2007-01-02 08:00:00",29.96
"2007-01-02 09:00:00",39.6
"2007-01-02 10:00:00",48.146
"2007-01-02 11:00:00",49.93
"2007-01-02 12:00:00",49
"2007-01-02 13:00:00",46.005
